customer_id,age,gender,income,education,marital_status,children,location,total_purchases,total_spending,avg_order_value,days_since_last_purchase,tenure_months,website_visits,time_on_site_minutes,preferred_category,categories_purchased,email_opens,email_clicks,discount_purchases,returns,support_contacts,loyalty_member
CUST000001,49,F,29522.0,Some College,Divorced,2,Suburban,2,1492.32,746.16,142,8,8,36.7,Sports,2,7,2,0,0,5,1
CUST000002,39,F,68325.0,High School,Single,1,Suburban,6,2806.91,467.82,26,16,16,14.6,Electronics,5,12,1,0,0,0,1
CUST000003,51,M,48033.0,Master,Married,2,Urban,2,1016.58,508.29,46,17,14,69.5,Electronics,2,9,3,0,0,2,1
CUST000004,64,M,20000.0,High School,Married,3,Urban,8,953.11,119.14,9,13,7,4.2,Electronics,3,8,2,3,0,2,0
CUST000005,38,M,63096.0,Some College,Divorced,1,Urban,7,2792.84,398.98,58,22,19,17.1,Books,3,6,0,1,0,7,0
CUST000006,38,M,34656.0,High School,Married,0,Urban,4,1621.17,405.29,163,25,19,50.0,,2,8,1,0,0,5,1
CUST000007,65,F,83173.0,High School,Married,1,Urban,4,2721.13,680.28,10,22,8,5.3,Clothing,1,4,1,1,0,1,1
CUST000008,53,F,49059.0,Bachelor,Married,1,Suburban,9,1642.32,182.48,32,20,14,1.5,Electronics,3,8,2,4,0,1,1
CUST000009,34,M,62146.0,Bachelor,Single,2,Suburban,8,3425.87,428.23,46,12,21,15.1,,3,5,1,4,0,3,0
CUST000010,50,M,27596.0,High School,Single,4,Rural,3,1734.85,578.28,10,19,15,6.8,Books,1,6,0,0,0,0,1
CUST000011,35,F,34420.0,Bachelor,Married,1,Urban,3,1010.21,336.74,143,25,14,4.8,Electronics,1,12,1,1,0,1,0
CUST000012,35,F,37228.0,Bachelor,Married,1,Suburban,8,1476.27,184.53,154,20,23,75.7,Beauty,3,4,1,1,0,4,1
CUST000013,45,M,81962.0,High School,Married,2,Suburban,6,3255.25,542.54,180,23,16,21.0,Food,5,5,1,0,0,3,0
CUST000014,18,F,134111.0,Bachelor,Married,0,Suburban,7,3379.86,482.84,87,35,20,10.0,Books,4,16,5,1,0,1,1
CUST000015,18,F,30239.0,Master,Single,0,Rural,9,1641.67,182.41,70,22,11,0.8,Food,3,10,2,3,0,1,1
CUST000016,33,M,93536.0,Master,Married,3,Urban,6,2095.75,349.29,30,26,17,3.2,Beauty,4,9,1,2,0,4,0
CUST000017,26,M,20000.0,Master,Single,2,Urban,5,1777.6,355.52,106,7,18,5.3,Food,2,10,2,0,0,1,1
CUST000018,46,F,23944.0,Master,Divorced,0,Suburban,6,1297.86,216.31,58,20,10,10.0,Food,1,7,1,3,0,3,1
CUST000019,28,F,27576.0,Bachelor,Widowed,0,Urban,7,1454.4,207.77,353,39,16,10.3,Home & Garden,2,15,1,0,0,1,1
CUST000020,20,F,21774.0,High School,Married,2,Urban,3,1450.01,483.34,344,18,14,0.5,Food,5,9,3,0,0,4,1
CUST000021,63,M,20000.0,Bachelor,Single,2,Urban,4,1246.47,311.62,235,18,11,43.1,Food,4,8,2,1,0,2,0
CUST000022,38,M,62805.0,Master,Single,3,Urban,4,1711.36,427.84,44,15,13,11.7,Sports,1,8,0,2,0,1,1
CUST000023,43,F,43112.0,Some College,Married,0,Suburban,1,2055.24,2055.24,45,14,16,0.5,Electronics,2,10,3,0,0,2,1
CUST000024,20,F,61552.0,Bachelor,Married,3,Urban,6,2780.66,463.44,191,34,12,18.1,Electronics,1,5,1,0,0,1,0
CUST000025,33,M,74182.0,High School,Married,2,Urban,5,3814.41,762.88,130,5,23,1.1,Toys,3,9,3,1,0,1,0
CUST000026,43,F,57490.0,High School,Single,2,Suburban,1,1762.34,1762.34,121,19,15,19.2,Home & Garden,2,14,5,0,0,1,1
CUST000027,24,F,72740.0,Bachelor,Married,2,Suburban,4,2379.46,594.86,32,15,19,18.1,Sports,4,8,1,1,0,2,1
CUST000028,47,F,47017.0,Bachelor,Married,0,Rural,8,1506.2,188.28,179,6,14,62.9,Books,1,8,3,3,0,0,1
CUST000029,32,F,24047.0,High School,Single,4,Urban,0,613.38,0.0,86,25,14,6.3,Sports,3,8,2,0,0,6,1
CUST000030,37,F,92474.0,Some College,Married,0,Rural,11,3808.27,346.21,59,16,19,2.3,Electronics,2,10,2,2,1,5,1
CUST000031,32,M,34424.0,Bachelor,Single,0,Suburban,5,2022.26,404.45,200,19,18,1.4,Home & Garden,2,9,3,0,0,1,1
CUST000032,69,F,27963.0,Some College,Married,3,Suburban,4,1237.53,309.38,50,14,10,1.1,Beauty,2,6,1,2,0,4,0
CUST000033,41,M,,Master,Divorced,2,Urban,0,700.29,0.0,106,21,6,24.9,Clothing,2,8,3,0,0,2,1
CUST000034,26,F,28348.0,Master,Married,3,Suburban,6,1221.54,203.59,62,22,19,19.0,Food,2,4,1,3,0,1,1
CUST000035,54,M,38159.0,Bachelor,Divorced,1,Rural,6,2695.44,449.24,89,10,13,55.9,Home & Garden,3,10,2,1,0,1,1
CUST000036,23,F,60260.0,Bachelor,Married,1,Rural,3,1737.6,579.2,4,10,16,5.5,Books,3,8,2,1,0,2,0
CUST000037,45,M,60415.0,Bachelor,Single,3,Urban,3,1610.91,536.97,61,14,14,24.4,Food,1,6,1,0,0,1,1
CUST000038,18,M,28604.0,Bachelor,Married,0,Urban,5,2069.63,413.93,81,32,21,1.5,Food,3,15,3,2,0,0,1
CUST000039,22,M,36584.0,Bachelor,Married,3,Suburban,7,2701.72,385.96,67,14,16,35.1,Books,3,6,2,3,0,4,0
CUST000040,44,M,93395.0,Some College,Married,0,Rural,7,4287.69,612.53,188,14,8,0.8,Food,1,8,1,1,0,1,1
CUST000041,53,F,66028.0,Master,Single,3,Urban,6,2027.32,337.89,37,13,5,23.3,Electronics,3,3,1,1,0,2,1
CUST000042,44,F,170252.0,Master,Married,0,Suburban,8,5076.48,634.56,215,35,19,5.5,Toys,3,4,1,1,0,0,0
CUST000043,40,F,99516.0,PhD,Single,2,Suburban,4,4536.91,1134.23,51,18,16,3.0,Home & Garden,4,12,4,2,0,1,0
CUST000044,37,M,97399.0,High School,Single,3,Suburban,6,5699.82,949.97,118,27,20,18.3,Clothing,1,11,2,1,0,4,1
CUST000045,19,M,,High School,Married,1,Suburban,4,1389.74,347.44,9,28,16,33.9,Home & Garden,3,10,3,0,0,1,0
CUST000046,31,M,77521.0,Bachelor,Single,2,Urban,5,3302.43,660.49,22,10,14,21.7,Books,3,14,3,2,0,2,1
CUST000047,35,M,47483.0,Bachelor,Divorced,3,Rural,7,2628.64,375.52,143,12,15,5.6,Toys,2,6,2,3,0,1,1
CUST000048,57,F,35221.0,Master,Married,2,Suburban,4,905.3,226.32,1,19,11,6.5,Home & Garden,2,5,0,2,0,3,1
CUST000049,47,M,54220.0,Bachelor,Married,3,Suburban,7,1919.48,274.21,345,10,7,3.1,Electronics,2,9,3,3,0,5,1
CUST000050,18,M,86433.0,Bachelor,Married,1,Urban,7,3290.73,470.1,21,12,14,26.1,Books,2,8,3,2,0,1,1
CUST000051,46,M,66204.0,Bachelor,Married,0,Suburban,5,3447.31,689.46,231,14,9,1.7,Home & Garden,2,8,1,2,0,1,1
CUST000052,36,M,28938.0,High School,Single,0,Urban,4,839.75,209.94,72,12,22,35.0,Food,1,10,2,1,0,3,1
CUST000053,31,F,76532.0,Bachelor,Divorced,0,Urban,5,2504.82,500.96,83,9,17,13.8,Home & Garden,2,6,1,2,0,0,1
CUST000054,51,F,33437.0,Master,Married,0,Suburban,5,2130.1,426.02,8,13,14,13.3,Electronics,2,5,0,1,0,4,1
CUST000055,57,M,55826.0,High School,Divorced,2,Suburban,5,1482.58,296.52,45,17,14,27.3,Electronics,1,4,0,2,0,2,1
CUST000056,55,M,40863.0,Bachelor,Married,0,Suburban,10,1492.67,149.27,16,11,19,16.5,Food,2,12,4,5,0,2,1
CUST000057,29,M,42988.0,Bachelor,Single,0,Urban,8,2849.64,356.2,74,13,20,5.4,Food,4,7,1,1,1,3,1
CUST000058,37,M,77632.0,High School,Married,0,Suburban,3,3637.48,1212.49,80,15,18,6.5,Home & Garden,1,12,3,0,0,2,1
CUST000059,46,M,26262.0,High School,Single,3,Urban,3,1063.65,354.55,123,36,12,2.9,Toys,3,5,1,1,0,4,1
CUST000060,56,F,157489.0,Some College,Married,2,Suburban,10,8792.75,879.28,210,11,16,9.4,Clothing,1,7,1,1,0,5,1
CUST000061,34,F,20000.0,Bachelor,Single,1,Urban,4,637.47,159.37,63,30,16,1.8,Books,1,10,2,1,0,1,1
CUST000062,39,F,34248.0,High School,Married,3,Suburban,6,2194.24,365.71,26,5,26,15.9,Home & Garden,5,11,3,2,0,2,0
CUST000063,25,M,61213.0,High School,Widowed,0,Suburban,5,2898.28,579.66,40,24,16,2.8,Electronics,3,7,1,1,0,3,1
CUST000064,24,M,69604.0,Master,Married,4,Urban,6,2569.83,428.3,187,22,18,29.9,Books,1,6,1,3,0,2,0
CUST000065,54,F,46152.0,Bachelor,Divorced,2,Urban,6,3135.53,522.59,15,24,12,18.1,Electronics,3,10,3,3,0,2,1
CUST000066,62,F,47361.0,Bachelor,Married,0,Suburban,9,2240.31,248.92,98,23,12,33.3,Food,1,2,0,5,0,4,0
CUST000067,40,F,62713.0,High School,Married,2,Suburban,5,1269.04,253.81,1,26,13,1.4,Books,4,7,0,0,0,3,1
CUST000068,57,M,42674.0,PhD,Divorced,2,Suburban,2,2270.52,1135.26,28,14,13,24.0,Home & Garden,1,8,1,0,0,2,0
CUST000069,47,F,113086.0,Bachelor,Divorced,1,Suburban,6,1807.33,301.22,89,30,12,31.9,Beauty,4,6,0,2,0,0,1
CUST000070,32,M,81113.0,Bachelor,Married,3,Urban,7,1328.2,189.74,60,12,23,0.7,Food,1,11,3,3,0,2,1
CUST000071,47,F,82759.0,Bachelor,Single,0,Urban,5,2411.81,482.36,68,6,5,104.8,Beauty,3,6,1,1,0,1,1
CUST000072,65,F,27455.0,Bachelor,Married,0,Urban,4,736.77,184.19,108,6,8,5.4,Toys,4,6,0,0,0,1,1
CUST000073,41,F,,PhD,Single,0,Urban,10,3534.92,353.49,26,18,8,3.6,Sports,2,5,1,3,0,1,0
CUST000074,65,M,40934.0,Some College,Married,0,Suburban,9,2954.19,328.24,32,21,9,8.0,Beauty,1,10,3,3,0,2,1
CUST000075,18,F,26812.0,Bachelor,Married,0,Urban,6,1917.08,319.51,115,25,14,0.5,Sports,3,15,2,2,0,4,0
CUST000076,54,M,60845.0,PhD,Divorced,3,Rural,7,2107.13,301.02,77,18,14,32.6,Books,1,9,1,2,0,2,1
CUST000077,43,M,35504.0,Master,Divorced,0,Suburban,0,1120.56,0.0,1,12,14,4.7,Toys,3,6,0,0,0,0,1
CUST000078,37,M,72637.0,Some College,Married,1,Rural,8,2072.17,259.02,110,24,10,11.1,Toys,3,10,2,3,0,3,0
CUST000079,43,F,25793.0,High School,Single,1,Rural,2,705.57,352.78,96,17,11,14.7,Toys,2,13,1,0,0,4,1
CUST000080,18,M,137506.0,Bachelor,Divorced,3,Urban,6,3123.49,520.58,8,12,23,23.5,Electronics,3,8,2,2,0,4,0
CUST000081,38,M,28629.0,Bachelor,Single,4,Suburban,13,2043.32,157.18,137,20,12,4.3,Electronics,1,6,0,3,1,3,1
CUST000082,47,F,,Master,Married,2,Urban,6,3066.54,511.09,73,17,13,18.9,Electronics,4,12,1,3,0,1,1
CUST000083,64,M,78835.0,High School,Single,4,Urban,4,4107.24,1026.81,22,54,15,1.9,Home & Garden,2,6,2,1,0,3,0
CUST000084,34,F,34808.0,Bachelor,Married,2,Suburban,6,1765.28,294.21,81,46,23,18.3,Books,3,6,1,1,0,1,1
CUST000085,29,M,81754.0,Bachelor,Widowed,4,Urban,8,3584.19,448.02,90,11,18,37.8,Home & Garden,2,10,2,2,0,2,1
CUST000086,34,M,23446.0,Bachelor,Single,2,Rural,4,1225.1,306.27,252,6,13,1.3,Sports,3,3,0,0,0,3,1
CUST000087,55,F,117157.0,Bachelor,Married,0,Suburban,9,5653.47,628.16,135,10,12,1.9,Sports,1,5,1,2,0,2,1
CUST000088,46,M,49438.0,PhD,Single,1,Suburban,10,4306.47,430.65,35,7,11,12.2,Electronics,2,9,1,1,1,2,1
CUST000089,34,M,34274.0,Bachelor,Divorced,2,Urban,9,2530.67,281.19,12,22,13,0.7,Electronics,1,10,3,3,0,2,0
CUST000090,49,F,40965.0,PhD,Divorced,1,Suburban,5,833.5,166.7,191,29,11,3.1,Books,2,8,2,2,0,3,0
CUST000091,43,F,79646.0,Bachelor,Single,0,Urban,4,3261.69,815.42,187,10,12,3.2,Sports,2,6,1,1,0,1,1
CUST000092,56,F,34521.0,Bachelor,Single,2,Suburban,6,1548.97,258.16,19,28,14,9.8,Books,2,6,2,2,0,0,1
CUST000093,31,M,31269.0,Bachelor,Married,3,Urban,7,977.6,139.66,6,9,14,4.3,Sports,5,7,1,3,0,1,1
CUST000094,37,M,42919.0,High School,Single,0,Suburban,6,3157.26,526.21,124,27,14,9.7,Clothing,1,9,2,3,0,1,1
CUST000095,36,F,24193.0,Bachelor,Married,2,Urban,4,932.49,233.12,128,11,16,11.0,Books,3,7,0,1,0,3,1
CUST000096,20,F,146140.0,Master,Single,2,Urban,7,3554.35,507.76,19,18,20,19.7,Clothing,2,7,0,2,0,2,1
CUST000097,46,F,34897.0,Bachelor,Single,4,Suburban,5,1324.97,264.99,110,25,18,43.8,Home & Garden,2,12,2,1,0,0,1
CUST000098,45,F,80738.0,Master,Married,3,Urban,6,2093.64,348.94,32,14,6,10.5,Toys,1,6,2,0,0,2,0
CUST000099,42,F,55585.0,Bachelor,Single,2,Suburban,1,2702.86,2702.86,30,8,9,6.6,Food,3,9,2,0,0,0,1
CUST000100,38,F,27153.0,High School,Divorced,1,Urban,6,1445.78,240.96,39,41,12,4.5,Food,2,3,0,0,0,1,0
CUST000101,20,M,48845.0,High School,Single,0,Urban,4,1930.29,482.57,73,8,15,15.1,Sports,4,8,3,2,0,1,0
CUST000102,35,F,78464.0,Bachelor,Single,1,Suburban,4,3209.66,802.42,163,35,17,42.9,Clothing,5,7,1,1,0,2,0
CUST000103,36,M,43784.0,Bachelor,Widowed,2,Urban,2,905.95,452.98,69,22,16,21.7,Home & Garden,1,8,1,0,0,2,0
CUST000104,29,M,100294.0,High School,Married,3,Urban,6,4336.51,722.75,35,29,22,3.5,Food,1,9,3,1,0,2,0
CUST000105,39,F,90482.0,Bachelor,Married,2,Suburban,4,3849.37,962.34,215,23,20,33.6,Food,2,6,0,1,0,3,1
CUST000106,48,F,85080.0,Bachelor,Single,0,Urban,11,3091.07,281.01,5,8,8,19.9,Books,2,8,1,5,0,1,0
CUST000107,70,M,37205.0,Bachelor,Married,2,Urban,4,2439.29,609.82,159,7,12,2.1,Clothing,2,5,1,1,0,4,1
CUST000108,44,M,25644.0,Master,Married,1,Urban,0,850.7,0.0,153,12,14,18.7,Clothing,5,8,2,0,0,1,1
CUST000109,45,M,33922.0,Bachelor,Single,0,Urban,11,1876.93,170.63,29,5,21,5.1,Home & Garden,3,3,0,5,0,1,1
CUST000110,40,F,55146.0,Bachelor,Divorced,0,Suburban,9,2907.83,323.09,22,18,14,10.1,Toys,5,8,1,4,0,3,1
CUST000111,18,F,68014.0,Master,Married,0,Urban,8,3664.96,458.12,207,18,14,5.4,Food,2,10,1,1,1,1,1
CUST000112,41,M,20000.0,Bachelor,Married,3,Suburban,6,1597.85,266.31,81,15,11,1.3,Clothing,2,12,4,2,0,1,0
CUST000113,42,M,48782.0,Bachelor,Married,0,Urban,3,1010.75,336.92,4,10,8,22.0,Home & Garden,2,6,2,0,0,2,0
CUST000114,78,F,53898.0,Bachelor,Married,0,Urban,5,2431.51,486.3,221,20,12,26.5,Beauty,2,8,1,0,0,5,1
CUST000115,39,M,41501.0,High School,Single,4,Urban,7,2921.41,417.34,42,11,19,4.0,,3,5,1,2,0,3,1
CUST000116,46,F,106379.0,Master,Married,1,Suburban,5,3858.48,771.7,41,17,7,4.1,Sports,4,5,1,1,0,2,0
CUST000117,41,F,,Bachelor,Single,0,Rural,6,1930.39,321.73,103,11,12,8.4,Sports,2,7,0,2,0,3,0
CUST000118,24,M,107593.0,Some College,Married,0,Suburban,10,4507.8,450.78,108,14,14,25.0,Sports,2,6,2,5,0,0,1
CUST000119,59,F,43063.0,Master,Married,0,Rural,7,2269.59,324.23,43,51,14,1.2,Clothing,2,10,2,1,0,4,0
CUST000120,53,M,86033.0,Bachelor,Married,0,Urban,9,1477.84,164.2,15,26,11,24.8,Food,3,10,1,3,1,0,1
CUST000121,53,M,130749.0,Bachelor,Divorced,0,Urban,7,7311.38,1044.48,80,9,8,38.4,Clothing,3,10,2,2,1,3,1
CUST000122,28,F,107690.0,High School,Single,2,Urban,4,5635.55,1408.89,98,36,16,12.4,Electronics,2,10,3,2,0,4,1
CUST000123,63,M,25456.0,Bachelor,Married,0,Urban,8,1651.84,206.48,196,23,10,0.9,Food,1,13,1,1,0,5,0
CUST000124,20,Other,42099.0,Bachelor,Married,1,Urban,2,733.58,366.79,66,8,14,4.7,Electronics,4,7,0,0,0,1,1
CUST000125,50,F,39850.0,Bachelor,Married,3,Urban,6,2391.82,398.64,103,15,9,1.8,Home & Garden,3,7,1,3,0,1,1
CUST000126,74,M,65745.0,Bachelor,Married,1,Urban,6,1460.77,243.46,5,16,9,4.5,Food,1,7,0,2,0,1,0
CUST000127,27,M,73999.0,High School,Single,3,Urban,6,2594.2,432.37,224,20,19,25.1,Clothing,2,11,1,3,0,4,0
CUST000128,33,M,29633.0,Some College,Married,1,Urban,5,881.61,176.32,39,36,17,0.9,Home & Garden,2,10,3,1,0,5,0
CUST000129,43,M,51057.0,High School,Single,1,Urban,5,2313.98,462.8,100,22,13,5.0,Food,2,10,2,2,0,2,1
CUST000130,34,M,20000.0,Some College,Widowed,2,Rural,5,687.28,137.46,247,12,22,10.9,Books,2,14,3,2,0,4,0
